Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017",Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
70.0,Bosnia and Herzegovina,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,2009,2002.0,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,Botswana,7591,7427.127482995391,6705.9554574638605,6020.95184738934,5372.116652756929,6047,6001,51,6741,18,2238.642209380865,1842.9859228730202,1483.4980518370867,1160.1785962581635,873.0275561213493,622.0449314415455,407.2307222187519,228.58492839336395,86.10755006968975,-20.201412811875343,-90.34196025133133,-124.31409223377705,7.300000191,-83.75310987234116,,,,,67,,,,,67,67,67,67,78,,,,,,,,,,,,,,,,,,,1998.0,1977,1996.0,,2003,1991.0,2016,1997,2008,2002,1990,1996.0,1994.0,1998,-17.6739402504731,-19.505730704417424,-21.794397045452218,-24.75058935434085,-28.748534100671353,-34.53355189712369,-43.868447069036435,-62.33017168939931,-123.4606753943477,347.20614886016324,37.60393496879551,-105.87222257736646,-1247.3028449451058,,,,
76.0,Brazil,3640631.527900696,3502994.242126465,3373798.101207733,3253043.105150223,3140729.253950119,3036856.5476150513,2941424.986135483,2854434.5695152283,2775885.2977581024,2705777.170856476,2644110.188814163,2510856.0,2692215.0,2588407.0,2446144.0,2216103.0,2412020.0,2531389.0,2526475.0,2688737.0,2354976.0,2371564.0,2675296.0,2588276.0,2953856.0,3074419.0,2605009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,1975,1994.0,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,-5.039660955806284,7.222994867089152,-3.855858465984329,-5.496160379723899,-9.404229677402475,8.840608942815384,4.948922479913102,-0.1941226733623319,6.422466084168654,-12.4133003711408,0.704380851439675,12.807244501940493,-3.252724184538832,14.124459678952322,4.081546290679031,-15.268250684113,
100.0,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,67259.0,93475.0,93910.0,75961.0,83684.0,67891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,1991,1996.0,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,,,,,,,,,,,,,38.97768328402147,0.4653650708745653,-19.112980513257373,10.16705941206672,-18.87218584197696
132.0,Cabo Verde,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,2005,1995.0,2006,2006,2001.0,2017,2005,2006,2006,1987,1995.0,1995.0,1988,,,,,,,,,,,,,,,,,
136.0,Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.0,Croatia,1618055.0016918182,1465180.0015411377,1320295.0014019012,1183400.0012645721,1054495.0011348724,933580.0010147095,820655.0008983612,715720.0007896423,618775.0006904602,529820.0005950928,448855.00050735474,375880.00042533875,310895.00035476685,253900.0002861023,204895.00022506714,163880.00017547607,130855.00012779236,105820.00008773804,88775.00005912781,79720.00003242493,78655.00001335144,85580.0,100495.0,123400.0,113750.0,91990.0,179932.0,164933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,2000,1997.0,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,-16.25803433169511,-17.288762370180937,-18.33255600882186,-19.300905870742348,-20.01756997708001,-20.151940451746327,-19.131863524974406,-16.10754112122263,-10.199943701122926,-1.3359257634725457,8.804271801504115,17.428137415283945,22.792178715358975,-7.820097244732577,-19.12967032967033,95.59952168713991,-8.335926905719939
192.0,Cuba,8.110606062138686,7.228787880172604,6.400000001245644,5.6242424253578065,4.901515152509091,4.231818182714051,3.6151515159435803,3.0515151521976804,2.540909091490903,2.083333333823248,1.678787879194715,1.3272727275907528,1.0287878790404648,0.7833333335147472,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,16.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,1990,1994.0,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,-100.0,,inf,-100.0,,inf,0.0,0.0,0.0,1500.0,25.0,0.0,0.0
196.0,Cyprus,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,1974,1996.0,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,,,,,,,,,,,,,,,,,
203.0,Czechia,400,420,492,486,553,645,825,653,541,550,573.0,617.0,1341.0,524.0,640.0,781.0,1070.0,637.0,485.0,713.0,769.0,480.0,492.0,845.0,388.0,398.0,402.0,339.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1993.0,1993,1994.0,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,7.678883071553229,117.3419773095624,-60.924683072334076,22.137404580152673,22.03125,37.00384122919334,-40.46728971962617,-23.861852433281005,47.01030927835051,7.854137447405329,-37.581274382314696,2.5,71.7479674796748,-54.082840236686394,2.5773195876288657,1.0050251256281406,-15.671641791044777
208.0,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1994.0,1977,1994.0,1983,2002,1988.0,2016,1978,2004,2003,2004,1995.0,1993.0,1979,,,,,,,,,,,,,,,,,
212.0,Dominica,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0,1995,1994.0,,2005,1993.0,2016,,2005,2003,1991,1997.0,1993.0,1995,,,,,,,,,,,,,,,,,
218.0,Ecuador,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1975,1993.0,2004,2000,1990.0,2017,1991,2004,2004,2012,1995.0,1993.0,1975,,,,,,,,,,,,,,,,,
818.0,Egypt,54733,52705.39501774311,53920.55901810527,55034.59548866749,56047.504429489374,55671,54889,58479.466073453426,59087.86489522457,59595.13618722558,60001.27994954586,60306.2961820364,60510.1848847568,58232.0,44709.0,53692.0,68204.0,83501.0,75929.0,55130.0,42122.0,63289.0,50085.0,56078.54365053773,,55500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1978,1994.0,1983,2005,1988.0,2017,1988,,2003,1983,1995.0,1994.0,1974,0.5083495431214516,0.3380885838270674,-3.7649610377090483,-23.222626734441544,20.092151468384444,27.028235118825894,22.428303325318165,-9.068154872396738,-27.392695807925826,-23.595138762923998,50.25164996913727,-20.863025170250754,11.966743836553317,,,,
222.0,El Salvador,8429.611328,8185.9607174173,8031.862112212926,7890.757939029485,7762.648197866976,7980.902344,9120.393555,5966.835449,7324.149414,9643.977539,6972.44043,5016.99707,5122.03418,5868.270996,5041.162109,8874.915039,8702.576172,7982.138184,9301.104492,5911.156738,10205.11621,9944.360352,6622.725098,4754.246582,5508.221191,5138.897461,4400.404297,9790.917969,9,,,,,9,9,9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1991.0,1987,1994.0,,1998,1992.0,2017,1999,1999,2008,,1997.0,1995.0,1991,-28.045321858705353,2.0936251015191303,14.56914947803024,-14.094592556543214,76.04899122675684,-1.9418649783425876,-8.278445069150482,16.52397236925609,-36.446722611446184,72.64161081021908,-2.5551483455375608,-33.402201211784885,-28.21313716560971,15.858971468888777,-6.7049545977464735,-14.370653814452508,122.50041832917518
233.0,Estonia,-7087.203815579414,-4389.64494228363,100,80,100,4606.851308107376,5335,8106,11640,10739,11816.558325111866,12720.377955675125,13444.823662042618,13989.895444095135,14355.59330189228,14541.917235434055,14548.867244660854,14376.443329691887,14024.645490407944,13493.47372686863,12782.92803901434,11893.008426964283,9561.0,10601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,1992,1994.0,2008,2002,1996.0,2016,1994,2006,2008,2005,2012.0,1994.0,1995,7.648755294868844,5.695158657170916,4.054138572239975,2.614014230903347,1.2979187249419673,0.04779293620145242,-1.1851363550811393,-2.4470436200125367,-3.78741668659365,-5.265847047520677,-6.961782224964133,-19.608229837599918,10.877523271624307,,,,
246.0,Finland,2500,3800,3800,3600,3700,4000,3400,3600,4500,3300,4000.0,3500.0,3700.0,4200.0,7200.0,4800.0,3509.0,3000.0,5577.0,3990.0,3829.0,3484.0,5754.0,3835.0,4153.0,4591.0,4345.0,4811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0,1976,1994.0,1989,2002,1988.0,2016,1975,2004,2002,1996,1995.0,1994.0,1987,-12.5,5.714285714285714,13.513513513513514,71.42857142857143,-33.33333333333333,-26.895833333333336,-14.50555713878598,85.9,-28.456159225389992,-4.035087719298246,-9.01018542700444,65.15499425947188,-33.35071254779284,8.292046936114733,10.546592824464243,-5.358309736440862,10.724971231300346
250.0,France,224087.48628258705,203444.80051493645,183852.47189307213,165310.5004169941,147818.88608574867,131377.62890052795,115986.72886013985,101646.1859652996,88356.00021648407,76116.17161226273,64926.700154304504,54787.585841178894,45698.82867336273,37660.428651571274,30672.385774612427,24734.700043201447,19847.37145781517,16010.400017023087,12850.0,11917.0,11760.0,9452.0,13285.0,15042.0,12408.0,12303.0,12292.0,9526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0,1978,1994.0,1990,2002,1988.0,2016,1986,2004,2004,1996,1997.0,1994.0,1975,-15.616247690132159,-16.589081318828548,-17.589947609482035,-18.555399200607056,-19.35840848847699,-19.758996781242967,-19.33239093623768,-19.739669300347185,-7.260700389105058,-1.3174456658555005,-19.625850340136054,40.55226407109607,13.225442228076778,-17.510969285999202,-0.8462282398452611,-0.08940908721450053,-22.50244061178002
270.0,Gambia,5110,5585.909670514986,5685.274573639035,5779.849361792207,5869.634034978226,6255,6034.833036432043,6110.2473647054285,6180.871578006074,7000,7000.0,7000.0,5110.0,6043.0,5709.0,7285.0,5730.700195,5927.064941,7159.239746,7388.190918,6654.733169924468,6663.0858886074275,6666.648492321372,6665.420981062576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0,1977,1994.0,2001,2001,1990.0,2016,1997,2002,2006,1984,1996.0,1994.0,1987,0.0,-27.0,18.258317025440313,-5.5270560979645875,27.605535119985987,-21.335618462594365,3.426540201340951,20.78895401460054,3.1979816310512486,-9.927433606088796,0.1255154559871629,0.05346777414404802,-0.018412719077805013,,,,
268.0,Georgia,7679,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,1996,1994.0,2000,1999,1996.0,2017,1997,2007,2006,1996,1999.0,1994.0,1992,,,,,,,,,,,,,,,,,
276.0,Germany,58000,54000,62000,65000,70000,83000,60000,64000,62000,86000,82000.0,89000.0,92000.0,58000.0,65000.0,63000.0,73000.0,71000.0,70000.0,69000.0,71000.0,55000.0,75000.0,80000.0,64000.0,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.0,1976,1994.0,1984,2002,1988.0,2016,1976,2001,2002,1994,1996.0,1993.0,1976,8.536585365853659,3.3707865168539324,-36.95652173913043,12.068965517241379,-3.076923076923077,15.873015873015872,-2.73972602739726,-1.4084507042253522,-1.4285714285714286,2.898550724637681,-22.535211267605636,36.36363636363637,6.666666666666667,-20.0,-6.25,,
348.0,Hungary,91386,79216,99241,93298,89226,118332,110000,110400,116300,129300,121973.0,115299.0,126811.0,83461.0,108201.0,121728.0,127956.0,102800.0,105525.0,119526.0,138599.0,90472.0,95644.0,117873.0,102590.0,90860.0,104906.0,95132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990.0,1985,1994.0,1983,2002,1989.0,2016,1979,2000,2008,2002,1999.0,1994.0,1985,-5.471702753888156,9.98447514722591,-34.18473160845668,29.642587555864413,12.501732886017688,5.1163249211356465,-19.659883084810403,2.6507782101167314,13.267945984363894,15.95719759717551,-34.72391575696794,5.716685825448757,23.241395173769394,-12.965649470192494,-11.433862949605226,15.458947831829187,-9.3169122833775
352.0,Iceland,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.0,2000,1994.0,,2002,1989.0,2016,1978,,2002,1985,1997.0,1993.0,1995,,,,,,,,,,,,,,,,,
368.0,Iraq,78685.68884986639,75709.0376637578,72889.92259734869,70228.34365057945,67724.30082345009,65377.7941159606,63188.823528289795,70300,78810,37410,36800.0,30720.0,53600.0,73100.0,64960.0,54650.0,67550.0,56420.0,32700.0,32110.0,50120.0,47570.0,49110.0,56020.0,37250.0,35340.0,54750.0,40690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,2014,2009.0,2016,2009,2008.0,,2008,2017,2016,1985,2010.0,2009.0,1974,-16.52173913043478,74.47916666666666,36.38059701492538,-11.135430916552668,-15.871305418719212,23.604757548032936,-16.476683937823836,-42.04182913860333,-1.8042813455657492,56.08844596698847,-5.0877893056664005,3.237334454488123,14.070454082671555,-33.505890753302396,-5.12751677852349,54.92359932088286,-25.680365296803654
372.0,Ireland,3848,3710.4591323137283,3637.0444325003773,3570.470870723948,3510.7384469937533,3174,3411.7970136534423,3372.5880040451884,3340.220132479444,3314.693398954347,4173.0,2458.0,4565.0,2475.0,2983.0,3016.0,3296.0,2883.0,3982.0,3848.0,2981.0,4202.0,3561.0,3360.0,4240.0,4149.0,3364.0,3364.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1994.0,2002,1996.0,1983,2002,1988.0,2016,1985,2005,2010,1996,1997.0,1994.0,1991,-41.09753175173736,85.72009764035802,-45.78313253012048,20.525252525252526,1.1062688568555146,9.283819628647215,-12.530339805825244,38.12001387443635,-3.3651431441486688,-22.531185031185032,40.959409594095945,-15.254640647310804,-5.644481887110362,26.190476190476193,-2.1462264150943393,-18.920221740178356,0.0
380.0,Italy,8000,12095.409123003483,13900.876860886812,15583.170402348042,17142.28974723816,18578.23489573598,19891.005847722292,21080.602603167295,22147.0251621902,23090.273524671793,23910.347690701485,46881.0,23217.0,15802.0,26396.0,17476.0,19763.0,24076.0,22858.0,32611.0,30196.0,24801.666548848152,24143.650357067585,23362.459968715906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,1979,1994.0,1983,2002,1988.0,2016,1977,2002,,1995,1997.0,1994.0,1978,96.06992171942188,-50.476738977410896,-31.937804195201792,67.0421465637261,-33.792998939233215,13.08651865415427,21.82360977584375,-5.058979896992856,42.66777495843906,-7.405476679647971,-17.86439744056116,-2.653112807901721,-3.235593527898322,,,,
388.0,Jamaica,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,1997,1995.0,,1999,1993.0,2017,1998,2002,2007,1983,1997.0,1995.0,1983,,,,,,,,,,,,,,,,,
400.0,Jordan,2994.8873121626675,2740.0833086892962,2497.2496439889073,2266.3863180428743,2047.4933308660984,1840.5706824474037,1645.6183728016913,1462.6364019103348,1291.6247697919607,1132.5834764279425,985.5125218369067,700.5999756,737.4000244,734.7000122,779.5,429.7128303088248,190.0700073,180.5200043,195.0,190.7772064,214.5800018,195.75,169.8999939,156.1999969,188.0,142.0,109.4000015,124.9000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989.0,1978,1994.0,2001,2003,1989.0,2016,1977,2002,2004,1995,1996.0,1993.0,1975,-28.910088905400748,5.252647742170434,-0.3661529849008316,6.097725201589435,-44.87327385390317,-55.76813306612208,-5.024466056302391,8.021269308157217,-2.165535179487174,12.476750157507274,-8.775282711364014,-13.205622528735633,-8.063565327767794,20.35851711338926,-24.46808510638298,-22.95774542253521,14.168189933708547
398.0,Kazakhstan,142608.251781106,133921.11891043186,125645.87415194511,117782.51750540733,110331.04897105694,103291.46854877472,96663.77623856068,90447.97204041481,84644.05595433712,79252.0279803276,74271.88811838627,69703.63636851311,65547.27273082733,60000.0,60200.0,61900.0,48100.0,52600.0,39400.0,41800.0,66400.0,44500.0,43500.0,46100.0,46300.0,39700.0,54400.0,59100.0,,,,,,,,,,,,,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,2003.0,2000,1994.0,2006,2009,1998.0,2016,2007,2007,2007,,1997.0,1995.0,1994,-6.150714443386117,-5.9629078972461045,-8.463010739756395,0.33333333333333337,2.823920265780731,-22.294022617124394,9.355509355509357,-25.09505703422053,6.091370558375635,58.85167464114832,-32.98192771084337,-2.247191011235955,5.977011494252873,0.43383947939262474,-14.254859611231103,37.02770780856423,8.63970588235294
417.0,Kyrgyzstan,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,2007,1996.0,2014,2003,2000.0,,2003,2000,2006,,1997.0,2000.0,1995,,,,,,,,,,,,,,,,,
